"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"55","Louis Domingue","T.B","26","133.55","121","108","13","0.893","5.84","3.05","12.5","31","25","6","0.806","2.70","0.38","39","36","3","0.923","1.35","2.66","50","46","4","0.920","1.80","-0.33","0","14","33.35","24.08"
"17","Cory Schneider","N.J","26","119.65","83","74","9","0.892","4.51","2.01","11.29","19","16","3","0.842","1.50","0.91","30","26","4","0.867","2.01","0.35","34","32","2","0.941","1.00","0.50","3","8","31.94","26.44"
"54","Philipp Grubauer","COL","37","177.36666666667","154","137","17","0.890","5.75","3.43","19.06","42","32","10","0.762","3.38","-1.36","36","35","1","0.972","0.34","4.23","75","69","6","0.920","2.03","-0.49","1","27","34.38","24.82"
"75","Antti Raanta","ARI","12","72.166666666667","54","48","6","0.889","4.99","1.16","7.96","17","15","2","0.882","1.66","1.50","14","11","3","0.786","2.49","-0.97","22","21","1","0.955","0.83","0.62","3","12","29.81","22.00"
"11","Marc-Andre Fleury","VGK","61","286.06666666667","250","222","28","0.888","5.87","5.16","30.21","75","58","17","0.773","3.57","-1.56","68","61","7","0.897","1.47","2.87","104","100","4","0.962","0.84","3.64","2","37","31.38","19.82"
"40","Martin Jones","S.J","62","259.26666666667","222","197","25","0.887","5.79","4.45","30.06","84","71","13","0.845","3.01","4.29","57","49","8","0.860","1.85","0.27","79","75","4","0.949","0.93","1.81","2","40","31.03","23.08"
"47","Carter Hutton","BUF","50","218.13333333333","194","172","22","0.887","6.05","3.73","23.2","63","48","15","0.762","4.13","-2.03","46","41","5","0.891","1.38","1.68","83","81","2","0.976","0.55","4.10","4","18","33.58","17.64"
"59","Laurent Brossoit","WPG","21","87.15","97","86","11","0.887","7.57","1.87","11.67","32","27","5","0.844","3.44","1.59","23","20","3","0.870","2.07","0.34","42","39","3","0.929","2.07","0.09","1","18","32.62","23.36"
"61","Jordan Binnington","STL","32","113.85","96","85","11","0.885","5.80","1.73","10.24","26","22","4","0.846","2.11","1.35","24","22","2","0.917","1.05","1.48","46","41","5","0.891","2.64","-1.62","3","9","31.16","22.45"
"62","John Gibson","ANA","58","281.75","305","270","35","0.885","7.45","5.46","39.3","106","89","17","0.840","3.62","4.82","102","89","13","0.873","2.77","1.81","96","91","5","0.948","1.06","2.06","6","47","31.15","24.69"
